id,img,type,title,actor,score,link,source
0,//puui.qpic.cn/vcover_vt_pic/0/s5gyg482zt8zf5mt1463842969.jpg/220,剧情,袁隆平,主演：果静林 曹艳艳,8.2 ,https://v.qq.com/x/cover/s5gyg482zt8zf5m.html,https://v.qq.com/txp/iframe/player.html?vid=l0026wusow1
1,//puui.qpic.cn/vcover_vt_pic/0/4xf4ni3vwii9kl11506674275/220,剧情,建军大业,主演：刘烨 朱亚文 黄志忠 欧豪 王景春 杨大鹏 霍建华 关晓彤,7.6 ,https://v.qq.com/x/cover/4xf4ni3vwii9kl1.html,https://v.qq.com/txp/iframe/player.html?vid=p00246at0hr
2,//puui.qpic.cn/vcover_vt_pic/0/pv1noxn2wtgzasht1444957124.jpg/220,剧情,赤道,主演：张家辉 张学友 张震 王学圻 池珍熙 崔始源 余文乐 文咏珊,8 ,https://v.qq.com/x/cover/pv1noxn2wtgzash.html,https://v.qq.com/txp/iframe/player.html?vid=q00168qh74n
3,//puui.qpic.cn/vcover_vt_pic/0/piegqd6mz97tr8b1559743696/220,剧情,机械师,主演：杰森·斯坦森 本·福斯特 托尼·戈德温 唐纳德·萨瑟兰 杰夫·蔡斯,8.4 ,https://v.qq.com/x/cover/piegqd6mz97tr8b.html,https://v.qq.com/txp/iframe/player.html?vid=i00227leh0g
4,//puui.qpic.cn/vcover_vt_pic/0/msbt3iret5tgwu81567135959/220,剧情,赌神,主演：周润发 王祖贤 刘德华 张敏,9 ,https://v.qq.com/x/cover/msbt3iret5tgwu8.html,https://v.qq.com/txp/iframe/player.html?vid=m0025c8sgbz
5,//puui.qpic.cn/vcover_vt_pic/0/7hg5nr3x10ingpj1564383305/220,剧情,三生三世十里桃花,主演：刘亦菲 杨洋 罗晋 严屹宽,6.9 ,https://v.qq.com/x/cover/7hg5nr3x10ingpj.html,https://v.qq.com/txp/iframe/player.html?vid=a0024e92mp5
6,//puui.qpic.cn/vcover_vt_pic/0/hu9th0blgco6c891481622249/220,剧情,金陵十三钗,主演：克里斯蒂安·贝尔 佟大为 聂远 窦骁 渡部笃郎 黄海波,8.9 ,https://v.qq.com/x/cover/hu9th0blgco6c89.html,https://v.qq.com/txp/iframe/player.html?vid=h0034diznzc
7,//puui.qpic.cn/vcover_vt_pic/0/3fvg46217gw800n1566963547/220,剧情,流浪地球,主演：屈楚萧 吴京 李光洁 吴孟达 赵今麦,8.9 ,https://v.qq.com/x/cover/3fvg46217gw800n.html,https://v.qq.com/txp/iframe/player.html?vid=h0030qj4fov
8,//puui.qpic.cn/vcover_vt_pic/0/j22edv0k6xtn65p1567580929/220,剧情,毒战,主演：孙红雷 古天乐 黄奕,8.6 ,https://v.qq.com/x/cover/j22edv0k6xtn65p.html,https://v.qq.com/txp/iframe/player.html?vid=u0012k5fks6
9,//puui.qpic.cn/vcover_vt_pic/0/skl46pqqu1e7bmx1567406424/220,剧情,僵尸,主演：钱小豪 陈友 惠英红 楼南光 鲍起静 吴耀汉,8.8 ,https://v.qq.com/x/cover/skl46pqqu1e7bmx.html,https://v.qq.com/txp/iframe/player.html?vid=b0021iwtlcp
10,//puui.qpic.cn/vcover_vt_pic/0/29trop8s2ipr3es1567494088/220,剧情,末代皇帝,主演：尊龙 陈冲 邬君梅,9.4 ,https://v.qq.com/x/cover/29trop8s2ipr3es.html,https://v.qq.com/txp/iframe/player.html?vid=n0029aoeg4q
